Date,AAPL,MSFT,AMZN,TSLA,FB,GOOG,GOOGL,NVDA,PYPL,INTC,CMCSA,NFLX,ADBE,CSCO,PEP,AVGO,TXN,TMUS,COST,QCOM,AMGN,AMAT,SBUX,CHTR,INTU,MU,AMD,BKNG,LRCX,ISRG,GILD,MDLZ,FISV,ADP,MELI,CSX,ATVI,JD,ZM,ADSK,BIDU,ADI,NXPI,ILMN,VRTX,KLAC,MRNA,REGN,PDD,ASML,KHC,KDP,MNST,MAR,WBA,WDAY,MCHP,EBAY,EXC,AEP,IDXX,EA,AEP,BIIB,LULU,CTAS,XEL,ORLY,PAYX,DXCM,MRVL,PTON,FAST,VRSK,OKTA,SGEN,FOXA,FOX
2012-06-06,17.579816818237305,24.21540069580078,217.63999938964844,5.843999862670898,26.809999465942383,289.20098876953125,290.5755615234375,11.387593269348145,,20.112768173217773,12.584964752197266,9.411429405212402,31.690000534057617,12.621984481811523,52.286502838134766,26.097145080566406,22.493101119995117,10.290557861328125,67.646484375,45.107337951660156,56.54020690917969,9.103011131286621,23.048431396484375,63.75,52.84311294555664,5.75,6.019999980926514,642.510009765625,34.22652053833008,177.81333923339844,20.483308792114258,21.120786666870117,17.11750030517578,38.00551986694336,71.24290466308594,17.717975616455078,11.26455307006836,,,33.11000061035156,119.12000274658203,30.112401962280273,19.5100154876709,40.5,57.84000015258789,29.620115280151367,,133.02000427246094,,34.760528564453125,,5.315276145935059,24.649999618530273,33.77227783203125,24.687604904174805,,25.557172775268555,16.680816650390625,26.41373062133789,28.683149337768555,42.650001525878906,13.674798965454102,28.683149337768555,134.11000061035156,70.0199966430664,31.845365524291992,20.906085968017578,98.45999908447266,22.68056869506836,10.8100004196167,10.961956977844238,,15.488969802856445,46.59701919555664,,21.989999771118164,,
2012-06-07,17.58780860900879,24.11639404296875,218.8000030517578,5.785999774932861,26.309999465942383,288.0353698730469,289.4044189453125,10.928047180175781,,20.012479782104492,12.69068431854248,9.234286308288574,31.31999969482422,12.538797378540039,52.433692932128906,26.08131217956543,22.202106475830078,10.323698997497559,67.91621398925781,44.79838562011719,55.8292121887207,9.06882381439209,23.035497665405273,63.810001373291016,52.14708709716797,5.670000076293945,5.760000228881836,636.1500244140625,33.51905822753906,176.50332641601562,20.391754150390625,21.21531867980957,17.11750030517578,38.04847717285156,70.05421447753906,17.802791595458984,10.966647148132324,,,32.650001525878906,122.45999908447266,29.725095748901367,19.21997833251953,39.33000183105469,56.77000045776367,29.244543075561523,,128.99000549316406,,34.71647262573242,,5.375635623931885,24.83333396911621,33.763282775878906,24.70355796813965,,25.589426040649414,16.664522171020508,27.46463966369629,28.683149337768555,42.46500015258789,13.385543823242188,28.683149337768555,133.33999633789062,63.84000015258789,31.969215393066406,20.810855865478516,97.20999908447266,22.89714241027832,10.8100004196167,10.581274032592773,,15.508569717407227,46.390140533447266,,22.40999984741211,,
2012-06-08,17.852373123168945,24.462913513183594,218.47999572753906,6.015999794006348,27.100000381469727,289.1412353515625,290.5155029296875,11.139439582824707,,20.375078201293945,12.800634384155273,9.377142906188965,31.649999618530273,12.652233123779297,52.92177200317383,26.785783767700195,22.4301815032959,10.191131591796875,68.38632202148438,45.38539505004883,55.64335632324219,9.19703197479248,23.10015869140625,64.12000274658203,52.202022552490234,5.880000114440918,5.909999847412109,644.3599853515625,33.68920135498047,178.89999389648438,20.658092498779297,21.26536750793457,17.274999618530273,38.427886962890625,69.68397521972656,17.879121780395508,11.013195991516113,,,32.779998779296875,121.30999755859375,29.934879302978516,19.57769203186035,39.540000915527344,56.97999954223633,30.12938117980957,,129.6199951171875,,35.16438293457031,,5.475801944732666,25.366666793823242,33.99712371826172,24.847084045410156,,25.807104110717773,16.72564125061035,26.385522842407227,28.857519149780273,42.810001373291016,13.435416221618652,28.857519149780273,133.52000427246094,64.7699966430664,32.181514739990234,20.82550811767578,98.08999633789062,23.158527374267578,11.619999885559082,10.624531745910645,,15.786907196044922,46.88270950317383,,23.520000457763672,,
2012-06-11,17.570892333984375,23.84412384033203,216.5,5.823999881744385,27.010000228881836,283.18853759765625,284.5345458984375,11.268111228942871,,20.051044464111328,12.661083221435547,9.0,31.1299991607666,12.463171005249023,52.7203483581543,26.310863494873047,21.745954513549805,9.942567825317383,67.74668884277344,44.63618469238281,54.770790100097656,9.051726341247559,22.77256202697754,63.38999938964844,50.764190673828125,5.710000038146973,5.690000057220459,641.7100219726562,33.268310546875,173.6300048828125,20.61647605895996,21.209758758544922,17.112499237060547,38.077110290527344,68.03736877441406,17.794307708740234,10.799077987670898,,,31.84000015258789,120.80000305175781,29.313602447509766,19.123302459716797,38.81999969482422,54.900001525878906,29.91295051574707,,126.87999725341797,,34.988155364990234,,5.451402187347412,24.93000030517578,33.15169143676758,24.894929885864258,,25.460424423217773,16.676746368408203,26.477210998535156,28.74853515625,42.529998779296875,12.787084579467773,28.74853515625,132.25999450683594,63.209999084472656,31.969215393066406,20.928058624267578,97.06999969482422,23.016630172729492,11.5600004196167,10.304412841796875,,15.281194686889648,46.892555236816406,,22.899999618530273,,
2012-06-12,17.724401473999023,24.165897369384766,216.4199981689453,5.932000160217285,27.399999618530273,281.494873046875,282.83282470703125,11.497883796691895,,20.45994758605957,12.876753807067871,9.002857208251953,31.770000457763672,12.697612762451172,52.99150848388672,26.849102020263672,22.209962844848633,10.025423049926758,68.20134735107422,45.879730224609375,55.441383361816406,9.25686264038086,22.863082885742188,64.7300033569336,51.99139404296875,5.920000076293945,5.909999847412109,646.97998046875,33.447410583496094,176.9633331298828,20.56654167175293,21.34878158569336,17.274999618530273,38.44221115112305,66.61486053466797,18.464359283447266,10.882862091064453,,,32.29999923706055,117.94000244140625,30.096250534057617,19.56802749633789,39.31999969482422,55.95000076293945,30.333093643188477,,127.8499984741211,,35.92802429199219,,5.605505466461182,25.1299991607666,33.7273063659668,24.918853759765625,,26.008655548095703,16.668594360351562,26.590055465698242,28.86477279663086,42.744998931884766,12.757161140441895,28.86477279663086,134.14999389648438,64.20999908447266,32.44689178466797,20.82550811767578,99.9800033569336,23.203338623046875,11.800000190734863,10.425537109375,,15.426241874694824,46.72508239746094,,24.239999771118164,,
2012-06-13,17.601346969604492,24.03388786315918,214.72999572753906,5.953999996185303,27.270000457763672,279.49737548828125,280.8258361816406,11.194581985473633,,20.475370407104492,12.677998542785645,8.975713729858398,31.790000915527344,12.599298477172852,53.10771560668945,26.944091796875,21.879650115966797,9.77685832977295,67.37677764892578,45.5244255065918,55.60298538208008,9.19703197479248,22.100112915039062,64.93000030517578,51.716651916503906,5.860000133514404,5.760000228881836,646.5,33.05339813232422,175.32333374023438,20.441688537597656,21.376585006713867,17.114999771118164,38.19881057739258,65.0169448852539,18.438901901245117,10.854933738708496,,,31.700000762939453,116.72000122070312,29.547584533691406,19.287656784057617,39.560001373291016,55.459999084472656,30.199399948120117,,111.87999725341797,,36.53013610839844,,5.550285816192627,24.9233341217041,33.25062561035156,24.623807907104492,,25.686166763305664,16.36708641052246,26.35730743408203,28.85025978088379,42.70500183105469,12.258445739746094,28.85025978088379,134.22000122070312,61.91999816894531,32.20805740356445,20.847475051879883,97.58999633789062,23.195865631103516,12.100000381469727,10.183284759521484,,15.218469619750977,46.99107360839844,,24.530000686645508,,
2012-06-14,17.581966400146484,24.207151412963867,214.4499969482422,5.877999782562256,28.290000915527344,278.4811706542969,279.8048095703125,11.056718826293945,,20.814828872680664,12.986701965332031,8.95142936706543,31.670000076293945,12.79592227935791,53.66550827026367,26.482969284057617,21.808866500854492,9.611148834228516,69.22631072998047,43.863800048828125,56.89567565917969,9.21412467956543,22.55703353881836,65.88999938964844,52.5408821105957,5.760000228881836,5.760000228881836,640.3200073242188,32.713096618652344,175.9933319091797,20.84536361694336,21.532297134399414,17.4325008392334,38.95763397216797,65.8548583984375,18.600055694580078,10.733909606933594,,,32.08000183105469,117.63999938964844,29.402353286743164,19.5100154876709,39.2599983215332,55.939998626708984,30.116653442382812,,110.88999938964844,,36.0014533996582,,5.548992156982422,25.43666648864746,33.86222457885742,25.25376319885254,,25.66197967529297,16.35079002380371,26.65353012084961,28.94470977783203,43.994998931884766,12.288368225097656,28.94470977783203,138.66000366210938,60.720001220703125,32.44689178466797,21.059917449951172,98.33999633789062,23.68875503540039,12.40999984741211,10.03620433807373,,15.300790786743164,47.36542510986328,,25.229999542236328,,
2012-06-15,17.661945343017578,24.768190383911133,218.35000610351562,5.98199987411499,30.010000228881836,281.20098876953125,282.53753662109375,11.295685768127441,,21.092565536499023,13.147396087646484,9.398571014404297,32.38999938964844,12.93205451965332,53.828216552734375,27.08719825744629,21.911117553710938,9.909425735473633,70.46704864501953,43.63979721069336,57.59861373901367,9.393623352050781,22.647550582885742,66.88999938964844,53.41092300415039,5.889999866485596,5.869999885559082,659.4099731445312,33.8145751953125,177.22000122070312,20.928598403930664,21.487804412841797,17.717500686645508,39.40148162841797,66.71228790283203,18.913875579833984,10.65012264251709,,,33.369998931884766,119.37999725341797,29.781583786010742,19.72271156311035,39.810001373291016,56.540000915527344,30.753236770629883,,113.8499984741211,,36.66230010986328,,5.525693893432617,26.213333129882812,34.159019470214844,25.357425689697266,,26.18602180480957,16.570810317993164,26.399621963500977,29.017343521118164,44.189998626708984,12.408060073852539,29.017343521118164,140.00999450683594,62.11000061035156,32.93341827392578,21.1478214263916,99.05000305175781,23.92027473449707,12.6899995803833,9.966985702514648,,15.524242401123047,47.82843780517578,,25.610000610351562,,
2012-06-18,18.020341873168945,24.61968231201172,222.66000366210938,6.368000030517578,31.40999984741211,284.3591613769531,285.7107238769531,11.396783828735352,,21.154285430908203,13.176998138427734,9.532856941223145,32.630001068115234,12.962300300598145,53.921180725097656,27.635778427124023,22.036949157714844,9.56143569946289,70.92170715332031,43.848358154296875,58.188419342041016,9.402170181274414,23.354476928710938,67.62999725341797,53.75893783569336,5.940000057220459,5.929999828338623,673.5,33.6444206237793,181.74667358398438,20.895305633544922,21.676881790161133,17.59000015258789,39.44442367553711,67.68660736083984,19.244651794433594,10.83631420135498,,,33.63999938964844,121.37000274658203,30.306041717529297,19.935413360595703,40.38999938964844,57.77000045776367,31.4598388671875,,116.93000030517578,,37.05881118774414,,5.552873611450195,26.239999771118164,34.518775939941406,25.48500633239746,,26.492385864257812,17.312360763549805,26.378467559814453,29.11179542541504,45.45000076293945,12.398085594177246,29.11179542541504,141.9600067138672,63.040000915527344,32.92457962036133,21.257692337036133,101.4800033569336,24.14431381225586,12.84000015258789,10.382280349731445,,15.559530258178711,48.12398147583008,,25.399999618530273,,
2012-06-19,18.070486068725586,25.3292236328125,224.02999877929688,6.418000221252441,31.90999984741211,289.67919921875,291.0560607910156,12.16882610321045,,21.223726272583008,13.24043083190918,9.975713729858398,32.88999938964844,12.992554664611816,53.69648742675781,27.58807945251465,22.233566284179688,9.793428421020508,70.79069519042969,44.04145050048828,58.99637985229492,9.556024551391602,23.759674072265625,68.9800033569336,54.006202697753906,6.099999904632568,5.809999942779541,680.1099853515625,34.154876708984375,182.86000061035156,21.111705780029297,21.688003540039062,17.702499389648438,39.70930480957031,68.31990814208984,19.21072769165039,10.864241600036621,,,34.63999938964844,121.72000122070312,30.661067962646484,20.380138397216797,41.2599983215332,57.22999954223633,31.54259490966797,,115.98999786376953,,37.33783721923828,,5.542520999908447,25.383333206176758,35.634033203125,23.993867874145508,,26.645570755004883,17.723880767822266,26.533626556396484,29.075475692749023,47.07500076293945,12.637470245361328,29.075475692749023,143.08999633789062,64.43000030517578,33.27840805053711,21.183752059936523,101.11000061035156,24.331018447875977,13.069999694824219,10.521406173706055,,15.861392974853516,48.311153411865234,,25.239999771118164,,
