Date,High,Low,Open,Close,Volume,Adj Close
03-08-2012,680400,680400,680400,680400,0,680400
06-08-2012,680400,680400,680400,680400,0,680400
07-08-2012,243000,243000,243000,243000,0,243000
08-08-2012,243000,243000,243000,243000,0,243000
09-08-2012,729000,729000,729000,729000,0,729000
10-08-2012,729000,729000,729000,729000,0,729000
13-08-2012,729000,729000,729000,729000,0,729000
14-08-2012,243000,243000,243000,243000,0,243000
15-08-2012,243000,243000,243000,243000,0,243000
16-08-2012,826200,826200,826200,826200,0,826200
17-08-2012,826200,826200,826200,826200,0,826200
20-08-2012,826200,826200,826200,826200,0,826200
21-08-2012,826200,826200,826200,826200,0,826200
22-08-2012,826200,826200,826200,826200,0,826200
23-08-2012,826200,826200,826200,826200,0,826200
24-08-2012,826200,826200,826200,826200,0,826200
27-08-2012,826200,826200,826200,826200,0,826200
28-08-2012,826200,826200,826200,826200,0,826200
29-08-2012,826200,826200,826200,826200,0,826200
30-08-2012,826200,826200,826200,826200,0,826200
31-08-2012,826200,826200,826200,826200,0,826200
04-09-2012,826200,826200,826200,826200,0,826200
05-09-2012,826200,826200,826200,826200,0,826200
06-09-2012,826200,826200,826200,826200,0,826200
07-09-2012,826200,826200,826200,826200,0,826200
10-09-2012,826200,826200,826200,826200,0,826200
11-09-2012,826200,826200,826200,826200,0,826200
12-09-2012,826200,826200,826200,826200,0,826200
13-09-2012,826200,826200,826200,826200,0,826200
14-09-2012,826200,826200,826200,826200,0,826200
17-09-2012,826200,826200,826200,826200,0,826200
18-09-2012,826200,826200,826200,826200,0,826200
19-09-2012,826200,826200,826200,826200,0,826200
20-09-2012,826200,826200,826200,826200,0,826200
21-09-2012,826200,826200,826200,826200,0,826200
24-09-2012,826200,826200,826200,826200,0,826200
25-09-2012,826200,826200,826200,826200,0,826200
26-09-2012,826200,826200,826200,826200,0,826200
27-09-2012,826200,826200,826200,826200,0,826200
28-09-2012,826200,826200,826200,826200,0,826200
01-10-2012,826200,826200,826200,826200,0,826200
02-10-2012,826200,826200,826200,826200,0,826200
03-10-2012,1636200,1636200,1636200,1636200,0,1636200
04-10-2012,1636200,1636200,1636200,1636200,0,1636200
05-10-2012,1636200,1636200,1636200,1636200,0,1636200
08-10-2012,1636200,1636200,1636200,1636200,0,1636200
09-10-2012,1636200,1636200,1636200,1636200,0,1636200
10-10-2012,826200,826200,826200,826200,0,826200
11-10-2012,826200,826200,826200,826200,0,826200
12-10-2012,826200,826200,826200,826200,0,826200
15-10-2012,826200,826200,826200,826200,0,826200
16-10-2012,826200,826200,826200,826200,0,826200
17-10-2012,826200,826200,826200,826200,0,826200
18-10-2012,826200,826200,826200,826200,0,826200
19-10-2012,826200,826200,826200,826200,0,826200
22-10-2012,826200,826200,826200,826200,0,826200
23-10-2012,826200,826200,826200,826200,0,826200
24-10-2012,826200,826200,826200,826200,0,826200
25-10-2012,826200,826200,826200,826200,0,826200
26-10-2012,826200,826200,826200,826200,0,826200
31-10-2012,826200,826200,826200,826200,0,826200
01-11-2012,826200,826200,826200,826200,0,826200
02-11-2012,826200,826200,826200,826200,0,826200
05-11-2012,324000,324000,324000,324000,0,324000
06-11-2012,324000,324000,324000,324000,0,324000
07-11-2012,324000,324000,324000,324000,0,324000
08-11-2012,324000,324000,324000,324000,0,324000
09-11-2012,324000,324000,324000,324000,0,324000
12-11-2012,324000,324000,324000,324000,0,324000
13-11-2012,396900,396900,396900,396900,0,396900
14-11-2012,396900,396900,396900,396900,0,396900
15-11-2012,396900,396900,396900,396900,0,396900
16-11-2012,396900,396900,396900,396900,0,396900
19-11-2012,396900,396900,396900,396900,0,396900
20-11-2012,396900,396900,396900,396900,0,396900
21-11-2012,396900,396900,396900,396900,0,396900
23-11-2012,405000,299700,405000,405000,0,405000
26-11-2012,405000,405000,405000,405000,0,405000
27-11-2012,405000,405000,405000,405000,0,405000
28-11-2012,405000,405000,405000,405000,0,405000
29-11-2012,405000,405000,405000,405000,0,405000
30-11-2012,405000,405000,405000,405000,0,405000
03-12-2012,405000,405000,405000,405000,0,405000
04-12-2012,405000,405000,405000,405000,0,405000
05-12-2012,259200,259200,259200,259200,0,259200
06-12-2012,259200,259200,259200,259200,0,259200
07-12-2012,259200,259200,259200,259200,0,259200
10-12-2012,259200,259200,259200,259200,0,259200
11-12-2012,259200,259200,259200,259200,0,259200
12-12-2012,259200,259200,259200,259200,0,259200
13-12-2012,259200,259200,259200,259200,0,259200
14-12-2012,259200,259200,259200,259200,0,259200
17-12-2012,259200,259200,259200,259200,0,259200
18-12-2012,294840,210600,294840,226800,0,226800
19-12-2012,226800,226800,226800,226800,0,226800
20-12-2012,324000,324000,324000,324000,0,324000
21-12-2012,324000,324000,324000,324000,0,324000
24-12-2012,324000,324000,324000,324000,0,324000
26-12-2012,324000,324000,324000,324000,0,324000
27-12-2012,324000,324000,324000,324000,0,324000
28-12-2012,324000,324000,324000,324000,0,324000
31-12-2012,324000,324000,324000,324000,0,324000
02-01-2013,324000,324000,324000,324000,0,324000
03-01-2013,324000,324000,324000,324000,0,324000
04-01-2013,324000,324000,324000,324000,0,324000
07-01-2013,324000,324000,324000,324000,0,324000
08-01-2013,324000,324000,324000,324000,0,324000
09-01-2013,275400,275400,275400,275400,0,275400
10-01-2013,275400,275400,275400,275400,0,275400
11-01-2013,275400,275400,275400,275400,0,275400
14-01-2013,275400,275400,275400,275400,0,275400
15-01-2013,275400,275400,275400,275400,0,275400
16-01-2013,275400,275400,275400,275400,0,275400
17-01-2013,275400,275400,275400,275400,0,275400
18-01-2013,275400,275400,275400,275400,0,275400
22-01-2013,275400,275400,275400,275400,0,275400
23-01-2013,275400,275400,275400,275400,0,275400
24-01-2013,275400,275400,275400,275400,0,275400
25-01-2013,275400,275400,275400,275400,0,275400
28-01-2013,275400,275400,275400,275400,0,275400
29-01-2013,275400,275400,275400,275400,0,275400
30-01-2013,275400,275400,275400,275400,0,275400
31-01-2013,275400,275400,275400,275400,0,275400
01-02-2013,275400,275400,275400,275400,0,275400
04-02-2013,275400,275400,275400,275400,0,275400
05-02-2013,275400,275400,275400,275400,0,275400
06-02-2013,275400,275400,275400,275400,0,275400
07-02-2013,275400,275400,275400,275400,0,275400
08-02-2013,275400,275400,275400,275400,0,275400
11-02-2013,891000,324000,324000,891000,0,891000
12-02-2013,891000,891000,891000,891000,0,891000
13-02-2013,891000,891000,891000,891000,0,891000
14-02-2013,891000,891000,891000,891000,0,891000
15-02-2013,891000,891000,891000,891000,0,891000
19-02-2013,891000,891000,891000,891000,0,891000
20-02-2013,891000,891000,891000,891000,0,891000
21-02-2013,874800,405000,405000,874800,0,874800
22-02-2013,874800,874800,874800,874800,0,874800
25-02-2013,874800,874800,874800,874800,0,874800
26-02-2013,874800,874800,874800,874800,0,874800
27-02-2013,874800,874800,874800,874800,0,874800
28-02-2013,1701000,842400,842400,1296000,0,1296000
01-03-2013,1620000,405000,1296000,1134000,0,1134000
04-03-2013,1134000,1134000,1134000,1134000,0,1134000
05-03-2013,1134000,1134000,1134000,1134000,0,1134000
06-03-2013,1296000,826200,826200,1296000,0,1296000
07-03-2013,891000,567000,891000,810000,0,810000
08-03-2013,1134000,810000,810000,1134000,0,1134000
11-03-2013,1134000,1134000,1134000,1134000,0,1134000
12-03-2013,1134000,1134000,1134000,1134000,0,1134000
13-03-2013,810000,729000,729000,810000,0,810000
14-03-2013,891000,891000,891000,891000,0,891000
15-03-2013,891000,891000,891000,891000,0,891000
18-03-2013,729000,729000,729000,729000,0,729000
19-03-2013,729000,729000,729000,729000,0,729000
20-03-2013,729000,648000,729000,648000,0,648000
21-03-2013,1053000,729000,810000,891000,0,891000
